Timestamp,Value
211,81.39
212,87.84
213,82.2
214,89.45
215,83.81
216,88.64
217,90.26
218,119.27
219,76.56
220,103.15
221,112.01
222,100.73
223,117.66
224,82.2
225,74.95
226,99.93
227,83.0
228,86.23
229,112.01
230,117.66
231,79.78
232,84.62
233,77.36
234,99.12
235,113.63
236,107.18
237,83.0
238,111.21
239,76.56
240,100.73
241,84.62
242,91.87
243,92.67
244,83.81
245,112.82
246,107.18
247,116.85
248,84.62
249,86.23
250,107.18
251,80.59
252,99.93
253,112.82
254,109.6
255,94.29
256,106.37
257,100.73
258,91.06
259,112.01
260,110.4
261,100.73
262,115.24
263,121.68
264,86.23
265,75.75
266,114.43
267,113.63
268,111.21
269,98.32
270,117.66
271,81.39
272,98.32
273,87.84
274,92.67
275,99.93
276,92.67
277,105.57
278,104.76
279,119.27
280,83.0
281,113.63
282,83.81
283,85.42
284,81.39
285,84.62
286,96.7
287,84.62
288,111.21
289,93.48
290,115.24
291,83.81
292,100.73
293,96.7
294,110.4
295,84.62
296,99.12
297,107.18
298,83.0
299,78.17
300,99.93
301,104.76
302,91.87
303,99.12
304,95.09
305,76.56
306,88.64
307,116.85
308,101.54
309,79.78
310,91.87
311,84.62
312,117.66
313,87.84
314,117.66
315,83.81
316,103.15
317,75.75
318,113.63
319,88.64
320,97.51
321,117.66
322,112.82
323,100.73
324,84.62
325,81.39
326,97.51
327,90.26
328,101.54
329,114.43
330,87.84
331,92.67
332,90.26
333,91.87
334,110.4
335,81.39
336,114.43
337,89.45
338,91.06
339,92.67
340,87.03
341,104.76
342,76.56
343,116.85
344,107.18
345,89.45
346,97.51
347,77.36
348,105.57
349,95.9
350,76.56
351,99.12
352,76.56
353,112.82
354,81.39
355,108.79
356,118.46
357,83.81
358,111.21
359,82.2
360,116.04
361,103.96
362,116.04
363,78.17
364,81.39
365,99.12
366,115.24
367,103.96
368,103.15
369,112.82
370,110.4
371,102.34
372,77.36
373,103.15
374,106.37
375,111.21
376,103.96
377,82.2
378,115.24
379,103.96
380,78.97
381,105.57
382,112.82
383,80.59
384,100.73
385,103.15
386,105.57
387,85.42
388,83.0
389,106.37
390,111.21
391,87.84
392,113.63
393,87.03
394,106.37
395,78.97
396,105.57
397,95.09
398,94.29
399,105.57
400,83.81
401,110.4
402,98.32
403,119.27
404,112.01
405,97.51
406,109.6
407,114.43
408,112.82
409,104.76
410,88.64
411,99.93
412,107.99
413,115.24
414,114.43
415,92.67
416,96.7
417,80.59
418,113.63
419,111.21
420,80.59
421,112.01
422,89.45
423,78.17
424,117.66
425,86.23
426,79.78
427,96.7
428,111.21
429,80.59
430,78.17
431,92.67
432,112.82
433,92.67
434,89.45
435,112.01
436,78.17
437,74.14
438,113.63
439,81.39
440,108.79
441,95.9
442,86.23
443,100.73
444,95.09
445,109.6
446,77.36
447,110.4
448,80.59
449,95.09
450,96.7
451,89.45
452,112.82
453,108.79
454,80.59
455,91.06
456,82.2
457,91.06
458,95.9
459,92.67
460,108.79
461,83.0
462,107.99
463,87.03
464,96.7
465,98.32
466,112.01
467,101.54
468,100.73
469,95.9
470,107.18
471,77.36
472,103.96
473,78.17
474,78.17
475,82.2
476,95.9
477,98.32
478,112.82
479,108.79
480,116.04
481,112.82
482,86.23
483,102.34
484,86.23
485,85.42
486,87.84
487,87.03
488,94.29
489,113.63
490,116.04
491,88.64
492,97.51
493,96.7
494,116.85
495,87.84
496,82.2
497,113.63
498,82.2
499,117.66
500,79.78
501,87.03
502,87.03
503,87.84
504,114.43
505,87.03
506,91.87
507,111.21
508,78.17
509,97.51
510,90.26
511,78.97
512,110.4
513,77.36
514,112.82
515,89.45
516,83.81
517,83.0
518,99.12
519,110.4
520,114.43
521,104.76
522,83.0
523,91.87
524,77.36
525,78.17
526,112.01
527,107.18
528,106.37
529,81.39
530,112.01
531,114.43
532,90.26
533,75.75
534,85.42
535,103.96
536,99.93
537,74.95
538,111.21
539,110.4
540,100.73
541,95.9
542,87.84
543,93.48
544,99.93
545,90.26
546,86.23
547,87.84
548,97.51
549,83.81
550,97.51
551,103.15
552,99.12
553,95.9
554,83.81
555,99.12
556,103.96
557,103.96
558,81.39
559,112.82
560,89.45
561,100.73
562,115.24
563,111.21
564,90.26
565,87.03
566,116.04
567,90.26
568,80.59
569,82.2
570,105.57
571,78.97
572,94.29
573,96.7
574,108.79
575,89.45
576,112.01
577,116.85
578,94.29
579,87.03
580,109.6
581,95.09
582,115.24
583,99.93
584,116.85
585,114.43
586,111.21
587,75.75
588,106.37
589,103.15
590,116.85
591,118.46
592,107.99
593,110.4
594,102.34
595,103.96
596,85.42
597,83.81
598,114.43
599,106.37
600,113.63
601,110.4
602,113.63
603,112.82
604,94.29
605,79.78
606,89.45
607,99.12
608,106.37
609,83.81
610,88.64
611,75.75
612,89.45
613,113.63
614,100.73
615,112.82
616,84.62
617,90.26
618,109.6
619,113.63
620,85.42
621,94.29
622,86.23
623,82.2
624,91.06
625,87.84
626,84.62
627,84.62
628,95.09
629,88.64
630,95.9
631,95.09
632,106.37
633,78.97
634,91.06
635,100.73
636,95.09
637,82.2
638,95.09
639,104.76
640,95.9
641,89.45
642,83.0
643,110.4
644,80.59
645,109.6
646,98.32
647,115.24
648,90.26
649,98.32
650,110.4
651,81.39
652,89.45
653,88.64
654,78.97
655,110.4
656,85.42
657,111.21
658,79.78
659,88.64
660,108.79
661,81.39
662,86.23
663,90.26
664,103.96
665,101.54
666,99.12
667,77.36
668,103.96
669,102.34
670,107.99
671,110.4
672,96.7
673,110.4
674,83.0
675,88.64
676,82.2
677,100.73
678,97.51
679,116.04
680,86.23
681,107.99
682,116.04
683,104.76
684,95.09
685,88.64
686,119.27
687,103.96
688,94.29
689,89.45
690,100.73
691,90.26
692,121.68
693,103.96
694,114.43
695,101.54
696,104.76
697,86.23
698,102.34
699,105.57
700,107.99
701,112.82
702,91.06
703,89.45
704,109.6
705,96.7
706,84.62
707,95.09
708,92.67
709,116.04
710,95.9
711,79.78
712,81.39
713,112.82
714,109.6
715,75.75
